movie;director
tt0055018;nm0002338
tt0055031;nm0006452
tt0055032;nm0000076
tt0055093;nm0218840
tt0055100;nm0542720
tt0055153;nm0442819
tt0055184;nm0001379
tt0055233;nm0462030
tt0055254;nm0527217
tt0055254;nm0718627
tt0055254;nm0314671
tt0055256;nm0000697
tt0055257;nm0000008
tt0055277;nm0842582
tt0055294;nm0550777
tt0055304;nm0000339
tt0055408;nm0086466
tt0055458;nm0485943
tt0055458;nm0850895
tt0055499;nm0000005
tt0055539;nm0718106
tt0055562;nm0652691
tt0055597;nm0213136
tt0055599;nm0001501
tt0055602;nm0728271
tt0055614;nm0936404
tt0055614;nm0730385
tt0055618;nm0285302
tt0055630;nm0000041
tt0055724;nm0006249
tt0055747;nm0649096
tt0055747;nm0000076
tt0055747;nm0410982
tt0055747;nm0744022
tt0055747;nm0906667
tt0055796;nm0001811
tt0055805;nm0001120
tt0055805;nm0000019
tt0055805;nm0899581
tt0055805;nm0598102
tt0055824;nm0496746
tt0055830;nm0367547
tt0055850;nm0408348
tt0055872;nm0058191
tt0055884;nm0318150
tt0055913;nm0314584
tt0055946;nm0355256
tt0055972;nm0001175
tt0055981;nm0647438
tt0055998;nm0001379
tt0056045;nm0752922
tt0056048;nm0503777
tt0056049;nm0793881
tt0056058;nm0462030
tt0056059;nm0001328
tt0056085;nm0368871
tt0056085;nm0000406
tt0056085;nm0550892
tt0056085;nm0861703
tt0056127;nm0684335
tt0056134;nm0006249
tt0056141;nm0772259
tt0056142;nm0393094
tt0056142;nm0599943
tt0056160;nm0299586
tt0056196;nm0001486
tt0056197;nm0002175
tt0056197;nm0554249
tt0056197;nm0652631
tt0056197;nm0926919
tt0056197;nm0953123
tt0056215;nm0001596
tt0056217;nm0000406
tt0056262;nm0196536
tt0056264;nm0715346
tt0056264;nm0587277
tt0056291;nm0000591
tt0056327;nm0793983
tt0056405;nm0684335
tt0056405;nm0051926
tt0056412;nm0001603
tt0056415;nm0668227
tt0056444;nm0654868
tt0056537;nm0315547
