imdb_id;original_language;popularity;revenue;runtime;vote_average;vote_count;genres;continent;action;adventure;animation;comedy;crime;documentary;drama;family;fantasy;history;horror;music;mystery;romance;science_fiction;tv_movie;thriller;war;western
tt0101988;en;9.861;0.0;88.0;5.6;117.0;['Action', 'Fantasy', 'Science Fiction', 'Comedy'];Americas;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
tt0102011;en;8.607;9804775.0;115.0;5.8;91.0;['Comedy', 'Drama', 'Romance'];Americas;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
tt0102015;en;9.552;1318449.0;96.0;8.0;245.0;['Documentary'];Americas;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
tt0102095;en;11.927;7788597.0;88.0;6.2;124.0;['Action', 'Comedy'];Americas;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tt0102138;en;18.309;205405498.0;189.0;7.6;1573.0;['Drama', 'Thriller', 'History'];Americas;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0
tt0102258;hi;2.752;0.0;187.0;6.6;14.0;['Drama', 'Romance'];Asia;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
tt0102269;en;1.497;0.0;83.0;2.0;1.0;['Mystery', 'Horror'];Americas;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
tt0102340;en;3.395;2387928.0;90.0;4.6;17.0;['Romance', 'Thriller'];Europe;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
tt0102343;en;13.959;754935.0;97.0;6.2;208.0;['Comedy', 'Romance', 'Fantasy', 'Science Fiction'];Americas;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0
tt0102351;en;8.512;0.0;92.0;5.3;142.0;['Comedy', 'Western'];Europe;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
tt0102388;en;13.107;2853801.0;99.0;7.3;219.0;['Drama', 'Family', 'Romance'];Americas;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0
tt0102395;en;11.414;3752426.0;95.0;5.9;116.0;['Fantasy', 'Comedy', 'Science Fiction', 'Romance'];Americas;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0
tt0102443;en;18.096;0.0;108.0;6.5;81.0;['Drama', 'War'];Americas;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
tt0102469;en;11.158;18800000.0;104.0;5.6;127.0;['Mystery', 'Thriller', 'Drama'];Americas;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0
tt0102569;en;3.607;0.0;82.0;3.4;21.0;['Fantasy', 'Science Fiction', 'Horror'];Americas;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0
tt0102583;fr;3.091;0.0;104.0;6.8;16.0;['Drama', 'Thriller'];Europe;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
tt0102587;ja;22.73;473110.0;119.0;7.3;752.0;['Animation', 'Drama', 'Romance'];Asia;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
tt0102721;en;7.378;2155000.0;90.0;6.7;72.0;['Drama', 'Romance'];Oceania;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
tt0102741;en;4.346;0.0;100.0;5.9;24.0;['Comedy', 'Drama'];Americas;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
tt0102800;en;9.922;0.0;85.0;5.6;83.0;['Science Fiction', 'Action'];Americas;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
tt0102815;pl;2.582;0.0;93.0;7.0;20.0;['Comedy'];Europe;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tt0102816;cn;8.376;0.0;154.0;7.0;41.0;['Drama', 'Romance'];Asia;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
tt0102848;en;9.467;14225876.0;104.0;4.9;92.0;['Horror', 'Science Fiction', 'Action'];Americas;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
tt0102849;en;5.331;9563393.0;89.0;5.2;59.0;['Comedy'];Americas;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tt0102910;en;3.235;0.0;93.0;4.9;14.0;['Music', 'Horror', 'Thriller'];Americas;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0
tt0102913;en;3.62;3547684.0;89.0;5.9;29.0;['Drama', 'Romance'];Americas;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
tt0102926;en;14.851;272742922.0;119.0;8.3;13038.0;['Crime', 'Drama', 'Thriller'];Americas;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0
tt0102943;en;6.309;1228108.0;97.0;6.7;213.0;['Comedy', 'Drama'];Americas;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
